scorer,,,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson,KSwanson
bodyparts,,,head,head,trunk,trunk,leftshoulder,leftshoulder,leftelbow,leftelbow,leftwrist,leftwrist,leftforefoot,leftforefoot,rightshoulder,rightshoulder,rightelbow,rightelbow,rightwrist,rightwrist,rightforefoot,rightforefoot,lefthip,lefthip,leftknee,leftknee,leftankle,leftankle,lefthindfoot,lefthindfoot,righthip,righthip,rightknee,rightknee,rightankle,rightankle,righthindfoot,righthindfoot
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2021-08-22_IMG_0214,img005.png,452.70018131219416,310.3901163771294,494.85526648675994,511.3620340698264,,,,,420.8470643815667,475.2961701733424,398.47849642126664,508.4347893737871,376.93839394097756,342.74169337156354,362.02601530077743,425.5882413726753,384.3945832610776,495.1793416936092,395.16463450122217,520.8617715739539,,,263.43862317945445,448.7852748129866,276.69407085963235,499.3216690936648,294.09184593986583,520.0333060939428,206.2745050586873,341.9132278915524,186.39133353842047,442.1575509728977,174.79281681826487,504.2924619737315,178.93514421832046,528.317960894054
labeled-data,2021-08-22_IMG_0214,img020.png,495.59991088928905,311.9692432121951,534.5921977485771,479.07904403771465,,,446.26273159794516,419.3969723143148,485.25501845723306,485.4451316882106,499.5787156708491,523.6416575911865,421.5941419522733,344.595442420987,384.9891379619214,423.3757770958748,388.96794274348133,491.0154583823946,393.7425084813533,524.4374185474985,,,,,280.7444526850496,498.1773069892026,290.29358416079367,522.0501356785626,254.48434112675378,340.61663763942704,258.4631459083138,444.0655619599868,210.71748852959388,494.9942631639546,198.7810741849139,526.0289404601225
labeled-data,2021-08-22_IMG_0214,img034.png,541.7540463553848,305.60315556169917,563.2395921758089,469.52991256197066,,,477.29740889411306,423.3757770958748,494.804149932977,493.40274125133055,504.353281408721,525.2331795038104,464.5652335931211,346.18696433361106,405.67892282603333,428.94610379005877,431.1432734280172,494.1985022076426,402.49587900078535,523.6416575911865,,,299.8427156365377,442.47404004736273,280.74445268504974,501.36035081445056,288.70206224816974,526.0289404601225,300.6384765928497,339.82087668311505,339.63076345213756,429.74186474637077,347.5883730152575,498.9730679455146,359.5247873599375,520.4586137659385
labeled-data,2021-08-22_IMG_0214,img052.png,596.6615523409127,310.37772129957114,623.7174248555204,440.88251813473875,,,,,501.965998539785,491.81121933870656,501.965998539785,528.4162233290585,513.902412884465,343.7996814646751,522.655783403897,435.3121914405547,580.7463332146726,485.44513168821067,602.2318790350967,515.6840480280665,,,342.81380727738554,450.43164961048274,298.25119372391373,499.76882890182657,299.8427156365377,527.6204623727465,356.3417435346895,346.18696433361106,373.84848457355343,445.6570838726107,388.1721817871694,506.93067750863446,408.8619666512813,527.6204623727465
labeled-data,2021-08-22_IMG_0214,img062.png,622.1259029428966,311.9692432121951,644.4072097196324,440.08675717842675,,,512.3108909718409,436.1079523968667,504.35328140872093,496.58578507657853,505.9448033213449,526.8247014164344,555.2819826126888,337.43359381417906,556.0777435690007,430.53762570268276,592.6827475593526,498.9730679455146,608.5979666855926,529.2119842853705,,,443.0796877726971,447.2486057852347,,,,,385.78489891823335,342.20815955205103,389.7637036997933,435.3121914405547,392.94674752504136,498.9730679455146,401.7001180444733,529.2119842853705
labeled-data,2021-08-22_IMG_0214,img067.png,649.1817754575044,312.7650041685071,661.1181898021844,436.9037133531788,,,,,532.2049148796409,494.19850220764255,506.7405642776569,526.8247014164344,571.9929626952407,344.595442420987,568.0141579136807,439.2909962221147,597.4573132972246,500.56458985813856,613.3725324234646,531.5992671543064,,,472.52284315624104,441.67827909105074,451.8330582921291,493.40274125133055,462.9737116804971,519.6628528096264,398.5170742192253,339.02511572680305,399.3128351755373,442.4740400473627,396.12979135028934,506.1349165523225,406.47468378234527,530.0077452416824
labeled-data,2021-08-22_IMG_0214,img078.png,688.1740623167922,314.3565260811311,698.5189547488482,444.8613229162987,,,,,659.5266678895604,471.1214344745946,640.4284049380724,513.2967651591305,607.0064447729685,338.22935477049106,587.1124208651686,425.76305996481074,605.4149228603445,497.3815460328905,611.7810105108405,529.2119842853704,,,,,505.9448033213449,499.7688289018265,525.8388272291448,519.6628528096264,439.8966439474491,343.799681464675,417.61533717071325,443.26980100367473,398.51707421922526,502.1561117707625,399.31283517553726,532.3950281106183
labeled-data,2021-08-22_IMG_0214,img105.png,787.6441818557919,309.58196034325914,808.3339667199039,463.95958586778664,,,708.0680862245922,422.58001613956276,727.9621101323921,487.83241455714654,735.1239587392001,524.4374185474984,696.9274328362242,343.799681464675,645.9987316322564,429.74186474637077,681.0122137099843,499.7688289018265,649.1817754575044,520.4586137659385,,,540.9582853990728,441.67827909105074,513.1066519281527,499.76882890182657,522.6557834038967,525.2331795038104,535.3879587048888,339.8208766831151,574.3802455641767,431.3333866589948,597.4573132972246,502.1561117707625,619.7386200739604,523.6416575911865
